Column1;Station;Camera;Species;utm_y;utm_x;DateTimeOriginal;Date;Time;delta.time.secs;delta.time.mins;delta.time.hours;delta.time.days;Directory;FileName;metadata_Observador_gato;metadata_SP;n_images;metadata_Grupo;metadata_ID_gato;metadata_NegroINSUFICIENTE;HierarchicalSubject
1;E01;E01;Gato;6216066;384545;03/09/2019 8:01;03/09/2019;8:01:47 a. m.;0;0;0;0;CamarasIMG19/E01;09030016.JPG;Ian;Gato;3;NA;NA;NA;Observador_gato|Ian, SP|Gato
2;E01;E01;Gato;6216066;384545;03/09/2019 12:08;03/09/2019;12:08:39 p. m.;14810;2468;41;2;CamarasIMG19/E01;09030022.JPG;Ian;Gato;3;NA;NA;NA;Observador_gato|Ian, SP|Gato
3;E01;E01;Gato;6216066;384545;03/09/2019 12:11;03/09/2019;12:11:42 p. m.;181;3;0;0;CamarasIMG19/E01;09030025.JPG;Ian;Gato;3;NA;NA;NA;Observador_gato|Ian, SP|Gato
4;E01;E01;Gato;6216066;384545;05/09/2019 10:22;05/09/2019;10:22:32 a. m.;166248;27708;462;19;CamarasIMG19/E01;09050028.JPG;Ian;Gato;2;NA;NA;NA;Observador_gato|Ian, SP|Gato
5;E02;E02;Ave;6216150;384938;20/08/2019 8:22;20/08/2019;8:22:05 a. m.;0;0;0;0;CamarasIMG19/E02;08200059.JPG;Ian;Ave;3;NA;NA;NA;Observador_gato|Ian, SP|Ave
6;E02;E02;Gato;6216150;384938;22/08/2019 11:31;22/08/2019;11:31:34 a. m.;0;0;0;0;CamarasIMG19/E02;08220161.JPG;Ian;Gato;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
7;E03;E03;Gato;6216327;384865;26/08/2019 20:25;26/08/2019;8:25:07 p. m.;0;0;0;0;CamarasIMG19/E03;08260037.JPG;Ian;Gato;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
8;E03;E03;Gato;6216327;384865;26/08/2019 21:12;26/08/2019;9:12:30 p. m.;2841;474;8;0;CamarasIMG19/E03;08260040.JPG;Ian;Gato;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
9;E03;E03;Gato;6216327;384865;26/08/2019 21:49;26/08/2019;9:49:21 p. m.;2209;368;6;0;CamarasIMG19/E03;08260043.JPG;Ian;Gato;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
10;E03;E03;Gato;6216327;384865;26/08/2019 22:25;26/08/2019;10:25:44 p. m.;2181;364;6;0;CamarasIMG19/E03;08260046.JPG;Ian;Gato;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
11;E03;E03;Gato;6216327;384865;26/08/2019 23:50;26/08/2019;11:50:32 p. m.;5086;848;14;1;CamarasIMG19/E03;08260049.JPG;Ian;Gato;2;NA;NA;NA;SP|Gato, Observador_gato|Ian
12;E03;E03;Gato;6216327;384865;27/08/2019 0:45;27/08/2019;12:45:42 a. m.;3309;551;9;0;CamarasIMG19/E03;08270052.JPG;Ian;Gato;2;NA;NA;NA;SP|Gato, Observador_gato|Ian
13;E03;E03;Gato;6216327;384865;27/08/2019 8:30;27/08/2019;8:30:15 a. m.;27871;4645;77;3;CamarasIMG19/E03;08270061.JPG;Ian;Gato;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
14;E03;E03;Gato;6216327;384865;27/08/2019 14:12;27/08/2019;2:12:23 p. m.;20526;3421;57;2;CamarasIMG19/E03;08270082.JPG;Ian;Gato;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
15;E03;E03;Gato;6216327;384865;27/08/2019 18:59;27/08/2019;6:59:04 p. m.;17199;2866;48;2;CamarasIMG19/E03;08270100.JPG;Ian;Gato;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
16;E03;E03;Gato;6216327;384865;27/08/2019 21:01;27/08/2019;9:01:30 p. m.;7344;1224;2;1;CamarasIMG19/E03;08270103.JPG;Ian;Gato;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
17;E03;E03;Gato;6216327;384865;27/08/2019 21:28;27/08/2019;9:28:42 p. m.;1630;272;5;0;CamarasIMG19/E03;08270106.JPG;Ian;Gato;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
18;E03;E03;Gato;6216327;384865;28/08/2019 0:30;28/08/2019;12:30:16 a. m.;10892;1815;3;1;CamarasIMG19/E03;08280124.JPG;Ian;Gato;3;NA;NA;NA;SP|Gato, Observador_gato|Ian
