Column1;Station;Camera;Species;utm_y;utm_x;DateTimeOriginal;Date;Time;delta.time.secs;delta.time.mins;delta.time.hours;delta.time.days;Directory;FileName;metadata_SP;metadata_Observador_gato;n_images;metadata_Grupo;metadata_ID_gato;metadata_Gato;HierarchicalSubject
1;E02;E02;Gato;6216150;384938;;25/08/2021;10:00:45 a. m.;;;;;;08250001.JPG;Gato;Gloria;3;1;Casa de bombas_Gato 1;Negro;SP|Gato, Observador_gato|Gloria
2;E16;E16;Gato;6216853;384271;;21/08/2021;12:06:19 p. m.;;;;;;08210038.JPG;Gato;Gloria;3;1;Basural viejo entrada y costa_Gato 1;Negro;SP|Gato, Observador_gato|Gloria
3;E16;E16;Gato;6216853;384271;;24/08/2021;10:28:08 p. m.;;;;;;08240053.JPG;Gato;Gloria;3;1;Basural viejo entrada y costa_;Negro;SP|Gato, Observador_gato|Gloria
4;E16;2019;Gato;6216853;384271;;28/08/2021;07:14:17 p. m.;;;;;;08280089.JPG;Gato;Gloria;3;1;Basural viejo entrada y costa_;No se ve;SP|Gato, Observador_gato|Gloria
5;E06;E06;Gato;6216083;384746;;16/09/2021;06:40:42 a. m.;;;;;;09150150.AVI;Gato;Gloria;3;1;Basural_Gato 2 y 4;Amarillo peludo + Marmolado negro peludo;SP|Gato, Observador_gato|Gloria
6;E06;E06;Gato;6216083;384746;;16/09/2021;06:40:42 a. m.;;;;;;09150150.AVI;Gato;Gloria;3;1;Basural_Gato 2 y 4;Amarillo peludo + Marmolado negro peludo;SP|Gato, Observador_gato|Gloria
7;E06;E06;Gato;6216083;384746;;16/09/2021;07:00:05 a. m.;;;;;;09150151.AVI;Gato;Gloria;3;1;Basural_Gato 2 y 4;Amarillo peludo + Marmolado negro peludo;SP|Gato, Observador_gato|Gloria
8;E06;E06;Gato;6216083;384746;;16/09/2021;07:00:05 a. m.;;;;;;09150151.AVI;Gato;Gloria;3;1;Basural_Gato 2 y 4;Amarillo peludo + Marmolado negro peludo;SP|Gato, Observador_gato|Gloria
9;E06;E06;Gato;6216083;384746;;16/09/2021;07:49:03 a. m.;;;;;;09150152.AVI;Gato;Gloria;3;1;Basural_Gato 2 y 4;Amarillo peludo + Marmolado negro peludo;SP|Gato, Observador_gato|Gloria
10;E06;E06;Gato;6216083;384746;;16/09/2021;07:49:03 a. m.;;;;;;09150152.AVI;Gato;Gloria;3;1;Basural_Gato 2 y 4;Amarillo peludo + Marmolado negro peludo;SP|Gato, Observador_gato|Gloria
