Station;utm_y;utm_x;Setup_date;Retrieval_date;Problem1_from;Problem1_to;zona;station_name;hours_active;registros
E04;6216487;385286;13/08/2018;18/08/2018;;;media;Intangible Sur;112.14;0
E10;6216611;384850;27/08/2018;01/09/2018;;;media;Galpones;119.02;0
E16;6216853;384271;13/08/2018;18/08/2018;;;media;Basural viejo entrada;115.67;0
E17;6217218;384600;20/08/2018;25/08/2018;;;baja;Biologos Suroeste ;117.74;0
E18;6217131;384850;13/08/2018;18/08/2018;;;baja;Arenal grande selva;118.38;0
E21;6217007;384200;20/08/2018;25/08/2018;;;media;Arenal chico cantera;112.97;0
E24;6217140;384408;13/08/2018;18/08/2018;;;baja;Selva Oeste;116.4;0
E25;6217647;384510;27/08/2018;01/09/2018;;;baja;Punta La Gata;119.33;0
E26;6217417;384722;13/08/2018;18/08/2018;;;baja;Polvorin viejo CB;117.09;0
E29;6217491;385037;27/08/2018;01/09/2018;;;media;Intangible norte ultimo foco;119.14;0
