Station;utm_y;utm_x;Setup_date;Retrieval_date;Problem1_from;Problem1_to;zona;station_name;hours_active
E01;6216066;384545;27/08/2018;01/09/2018;;;media;Polvorin Prefectura;116.33
E02;6216150;384938;13/08/2018;18/08/2018;;;media;Casa de bombas;112.7
E03;6216327;384865;20/08/2018;25/08/2018;;;alta;Camping Solis;116.53
E04;6216487;385286;13/08/2018;18/08/2018;;;media;Intangible Sur;112.14
E05;6216213;384673;13/08/2018;18/08/2018;;;alta;Caballeriza;111.53
E06;6216083;384746;27/08/2018;01/09/2018;;;media;Basural ;115.11
E07;6216449;384330;20/08/2018;26/08/2018;23/08/2018;24/08/2018;alta;Local Urbano;108.86
E08;6216444;384620;27/08/2018;01/09/2018;;;alta;Jardin Alcides;118.38
E09;6216306;384276;13/08/2018;18/08/2018;;;alta;CANE;113.51
E10;6216611;384850;27/08/2018;01/09/2018;;;media;Galpones;119.02
E11;6216680;384632;27/08/2018;01/09/2018;;;alta;Usina;118.54
E12;6216631;384393;20/08/2018;25/08/2018;;;alta;Club Brisas;115.98
E13;6216622;384283;27/08/2018;01/09/2018;;;media;Circunvlacion Oeste ;118.36
E14;6216762;384384;27/08/2018;01/09/2018;;;media;Canaveral Tata;118.51
E15;6216787;384588;20/08/2018;25/08/2018;;;media;Cementerio ;120.26
E16;6216853;384271;13/08/2018;18/08/2018;;;media;Basural viejo entrada;115.67
E17;6217218;384600;20/08/2018;25/08/2018;;;baja;Biologos Suroeste ;117.74
E18;6217150;384900;13/08/2018;18/08/2018;;;baja;Arenal grande selva;118.38
E19;6217168;384786;20/08/2018;25/08/2018;;;baja;Arenal grande interior;114.84
E20;6217100;384764;27/08/2018;01/09/2018;;;baja;Arenal grande entrada;119.56
E21;6217007;384180;13/08/2018;18/08/2018;;;media;Arenal chico cantera;115.99
E22;6216950;384214;20/08/2018;25/08/2018;;;media;Arenal chico interior;112.97
E23;6217085;384230;20/08/2018;25/08/2018;;;media;Barrio chino;112.24
E24;6217140;384408;13/08/2018;18/08/2018;;;baja;Selva Oeste;116.4
E25;6217647;384510;27/08/2018;01/09/2018;;;baja;Punta La Gata;119.33
E26;6217417;384722;13/08/2018;18/08/2018;;;baja;Polvorin viejo CB;117.09
E27;6217568;384846;20/08/2018;25/08/2018;;;baja;Camino prepista norte;117.36
E28;6217570;385005;13/08/2018;18/08/2018;;;media;Intangible Norte cantera;117.64
E29;6217491;385037;27/08/2018;01/09/2018;;;media;Intangible norte ultimo foco;119.14
E30;6216919;384957;20/08/2018;25/08/2018;;;media;Polvorin pista media;116.82
E31;6217025;385133;03/09/2018;08/09/2018;;;media;Intangible pista media;119.88
E32;6216394;384921;03/09/2018;08/09/2018;;;media;Bosque entre campings;119.14
E33;6216342;384334;03/09/2018;08/09/2018;;;alta;Fragata;117.98
E34;6216318;384497;03/09/2018;08/09/2018;;;alta;Museo;118.78
