Station;utm_y;utm_x;Setup_date;Retrieval_date;Problem1_from;Problem1_to;zona;station_number;hours_active
E01;6216066;384545;02/09/2019;07/09/2019;;;media;Polvorin Prefectura;119.57
E02;6216150;384938;19/08/2019;24/08/2019;;;media;Casa de bombas;118.70
E03;6216327;384865;26/08/2019;31/08/2019;;;alta;Camping Solis;119.58
E04;6216487;385286;19/08/2019;24/08/2019;;;media;Intangible Sur;118.89
E05;6216220;384664;19/08/2019;24/08/2019;;;alta;Caballeriza b;118.49
E06;6216083;384746;02/09/2019;07/09/2019;;;media;Basural;119.52
E07;6216449;384330;26/08/2019;31/08/2019;;;alta;Local Urbano;119.25
E08;6216444;384620;02/09/2019;07/09/2019;;;alta;Jardin Alcides;119.56
E09;6216293;384288;19/08/2019;24/08/2019;;;alta;CANE b;115.26
E10;6216611;384850;02/09/2019;07/09/2019;;;media;Galpones;119.67
E11;6216680;384632;02/09/2019;07/09/2019;;;alta;Usina;121.4
E12;6216631;384393;26/08/2019;31/08/2019;;;alta;Club Brisas;119.35
E13;6216622;384283;02/09/2019;07/09/2019;;;media;Circunvlacion Oeste;119.55
E14;6216762;384384;02/09/2019;07/09/2019;;;media;Canaveral Tata;119.39
E15;6216787;384588;26/08/2019;31/08/2019;;;media;Cementerio;119.76
E16;6216853;384271;19/08/2019;24/08/2019;;;media;Basural viejo entrada;115.50
E17;6217218;384600;26/08/2019;31/08/2019;;;baja;Biologos Suroeste;119.76
E18;6217131;384874;19/08/2019;24/08/2019;19/08/2019;19/08/2019;baja;Arenal grande selva b;119.87
E19;6217161;384771;26/08/2019;31/08/2019;;;baja;Arenal grande interior b;119.76
E20;6217114;384764;02/09/2019;07/09/2019;;;baja;Arenal grande entrada;119.1
E21;6217007;384180;19/08/2019;24/08/2019;;;media;Arenal chico cantera;115.72
E22;6216991;384214;26/08/2019;31/08/2019;;;media;Arenal chico interior;119.41
E23;6217085;384230;26/08/2019;31/08/2019;;;media;Barrio chino;119.63
E24;6217144;384424;19/08/2019;24/08/2019;;;baja;Selva Oeste b;115.85
E25;6217647;384510;02/09/2019;07/09/2019;;;baja;Punta La Gata;119.44
E26;6217427;384649;19/08/2019;24/08/2019;;;baja;Polvorin viejo CB b;119.69
E27;6217568;384846;26/08/2019;31/08/2019;;;baja;Camino prepista norte;119.66
E28;6217559;384985;19/08/2019;24/08/2019;;;media;Intangible Norte cantera b;119.52
E29;6217491;385037;02/09/2019;07/09/2019;;;media;Intangible norte ultimo foco;119.59
E30;6216919;384957;26/08/2019;31/08/2019;;;media;Polvorin pista media;119.54
E31;6217025;385133;10/09/2019;15/09/2019;;;media;Intangible pista media;120.04
E32;6216394;384921;10/09/2019;15/09/2019;;;media;Bosque entre campings;120.07
E33;6216342;384334;10/09/2019;15/09/2019;;;alta;Fragata;119.41
E34;6216318;384497;10/09/2019;15/09/2019;;;alta;Museo;119.81
