ID;Station;Species;Stage;Cuando;Tiempo;Horas;Minutos;Minutos_decimales;Horas_decimales
1;E01;Gato_2018;PRE;30/08/2018 11:22;11:22:00;11;22;0,366666667;11,37
2;E01;Gato_2018;PRE;31/08/2018 11:57;11:57:00;12;57;0,95;12,95
3;E01;Gato_2018;PRE;01/09/2018 9:14;9:14:00;9;14;0,233333333;9,23
4;E02;Gato_2018;PRE;14/08/2018 21:29;21:29:00;21;29;0,483333333;21,48
5;E03;Gato_2018;PRE;20/08/2018 20:24;20:24:00;20;24;0,4;20,40
6;E03;Gato_2018;PRE;20/08/2018 21:20;21:20:00;21;20;0,333333333;21,33
7;E03;Gato_2018;PRE;21/08/2018 1:07;1:07:00;1;7;0,116666667;1,12
8;E03;Gato_2018;PRE;21/08/2018 2:21;2:21:00;2;21;0,35;2,35
9;E03;Gato_2018;PRE;21/08/2018 3:12;3:12:00;3;12;0,2;3,20
10;E03;Gato_2018;PRE;21/08/2018 3:51;3:51:00;4;51;0,85;4,85
11;E03;Gato_2018;PRE;21/08/2018 4:00;4:00:00;4;0;0;4,00
12;E03;Gato_2018;PRE;21/08/2018 10:11;10:11:00;10;11;0,183333333;10,18
13;E03;Gato_2018;PRE;21/08/2018 14:15;14:15:00;14;15;0,25;14,25
14;E03;Gato_2018;PRE;21/08/2018 14:53;14:53:00;15;53;0,883333333;15,88
15;E03;Gato_2018;PRE;21/08/2018 14:59;14:59:00;15;59;0,983333333;15,98
16;E03;Gato_2018;PRE;21/08/2018 20:14;20:14:00;20;14;0,233333333;20,23
17;E03;Gato_2018;PRE;21/08/2018 20:19;20:19:00;20;19;0,316666667;20,32
18;E03;Gato_2018;PRE;21/08/2018 20:38;20:38:00;21;38;0,633333333;21,63
19;E03;Gato_2018;PRE;22/08/2018 2:29;2:29:00;2;29;0,483333333;2,48
20;E03;Gato_2018;PRE;22/08/2018 3:02;3:02:00;3;2;0,033333333;3,03
21;E03;Gato_2018;PRE;22/08/2018 3:45;3:45:00;4;45;0,75;4,75
22;E03;Gato_2018;PRE;22/08/2018 9:52;9:52:00;10;52;0,866666667;10,87
23;E03;Gato_2018;PRE;22/08/2018 12:41;12:41:00;13;41;0,683333333;13,68
24;E03;Gato_2018;PRE;22/08/2018 13:15;13:15:00;13;15;0,25;13,25
25;E03;Gato_2018;PRE;22/08/2018 18:44;18:44:00;19;44;0,733333333;19,73
26;E03;Gato_2018;PRE;22/08/2018 18:48;18:48:00;19;48;0,8;19,80
27;E03;Gato_2018;PRE;23/08/2018 3:16;3:16:00;3;16;0,266666667;3,27
28;E03;Gato_2018;PRE;23/08/2018 4:08;4:08:00;4;8;0,133333333;4,13
29;E03;Gato_2018;PRE;23/08/2018 9:17;9:17:00;9;17;0,283333333;9,28
30;E03;Gato_2018;PRE;23/08/2018 14:07;14:07:00;14;7;0,116666667;14,12
31;E03;Gato_2018;PRE;23/08/2018 14:30;14:30:00;15;30;0,5;15,50
32;E03;Gato_2018;PRE;23/08/2018 15:58;15:58:00;16;58;0,966666667;16,97
33;E03;Gato_2018;PRE;23/08/2018 16:20;16:20:00;16;20;0,333333333;16,33
34;E03;Gato_2018;PRE;23/08/2018 18:27;18:27:00;18;27;0,45;18,45
35;E03;Gato_2018;PRE;24/08/2018 2:23;2:23:00;2;23;0,383333333;2,38
36;E03;Gato_2018;PRE;24/08/2018 6:31;6:31:00;7;31;0,516666667;7,52
37;E03;Gato_2018;PRE;24/08/2018 7:41;7:41:00;8;41;0,683333333;8,68
38;E03;Gato_2018;PRE;24/08/2018 7:52;7:52:00;8;52;0,866666667;8,87
39;E03;Gato_2018;PRE;24/08/2018 10:54;10:54:00;11;54;0,9;11,90
40;E03;Gato_2018;PRE;24/08/2018 11:17;11:17:00;11;17;0,283333333;11,28
41;E03;Gato_2018;PRE;24/08/2018 12:06;12:06:00;12;6;0,1;12,10
42;E03;Gato_2018;PRE;24/08/2018 13:21;13:21:00;13;21;0,35;13,35
43;E03;Gato_2018;PRE;24/08/2018 13:29;13:29:00;13;29;0,483333333;13,48
44;E03;Gato_2018;PRE;24/08/2018 21:38;21:38:00;22;38;0,633333333;22,63
45;E03;Gato_2018;PRE;25/08/2018 6:30;6:30:00;7;30;0,5;7,50
