Station,utm_y,utm_x,eventos
E01,6216066,384545,3
E02,6216150,384938,1
E03,6216327,384865,42
E04,6216487,385286,4
E05,6216213,384673,3
E06,6216083,384746,3
E07,6216449,384330,2
E08,6216444,384620,11
E09,6216306,384276,2
E10,6216611,384850,2
E11,6216680,384632,9
E12,6216631,384393,29
E14,6216762,384384,21
E15,6216787,384588,3
E20,6217114,384764,1
E21,6217007,384180,1
E22,6216991,384214,1
E23,6217085,384230,3
E27,6217568,384846,2
E30,6216919,384957,1
E32,6216394,384921,3
E33,6216342,384334,128
E34,6216318,384497,72
