"Station","utm_y","utm_x","eventos"
"E01",6216066,384545,4
"E02",6216150,384938,1
"E03",6216327,384865,26
"E05",6216220,384664,11
"E06",6216083,384746,3
"E07",6216449,384330,18
"E08",6216444,384620,7
"E09",6216293,384288,9
"E11",6216680,384632,12
"E12",6216631,384393,19
"E13",6216622,384283,1
"E14",6216762,384384,1
"E15",6216787,384588,2
"E19",6217161,384771,3
"E20",6217114,384764,8
"E22",6216991,384214,2
"E23",6217085,384230,1
"E27",6217568,384846,3
"E28",6217559,385005,1
"E30",6216919,384957,2
"E31",6217025,385133,2
"E32",6216394,384921,1
"E33",6216342,384334,659
"E34",6216318,384497,208
