eventos;zona;esfuerzo;station;etapa;tasa;station_name;utm_y;utm_x
3;media;116,33;E01;2018;0,26;Polvorin Prefectura;6216066;384545
4;media;119,57;E01;2019;0,33;Polvorin Prefectura;6216066;384545
1;media;112,7;E02;2018;0,09;Casa de bombas;6216150;384938
1;media;118,7;E02;2019;0,08;Casa de bombas;6216150;384938
1;media;641;E02;2021;0,02;Casa de bombas;6216150;384938
42;alta;116,53;E03;2018;3,60;Camping Solis;6216327;384865
26;alta;119,58;E03;2019;2,17;Camping Solis;6216327;384865
4;media;112,14;E04;2018;0,36;Intangible Sur;6216487;385286
0;media;118,89;E04;2019;0,00;Intangible Sur;6216487;385286
0;media;643;E04;2021;0,00;Intangible Sur;6216487;385286
3;alta;111,53;E05;2018;0,27;Caballeriza;6216213;384673
11;alta;118,49;E05;2019;0,93;Caballeriza b;6216220;384664
3;media;115,11;E06;2018;0,26;Basural ;6216083;384746
3;media;119,52;E06;2019;0,25;Basural;6216083;384746
43;media;1023;E06;2021;0,42;Basural;6216083;384746
2;alta;108,86;E07;2018;0,18;Local Urbano;6216449;384330
18;alta;119,25;E07;2019;1,51;Local Urbano;6216449;384330
11;alta;118,38;E08;2018;0,93;Jardin Alcides;6216444;384620
7;alta;119,56;E08;2019;0,59;Jardin Alcides;6216444;384620
2;alta;113,51;E09;2018;0,18;CANE;6216306;384276
9;alta;115,26;E09;2019;0,78;CANE;6216293;384288
2;media;119,02;E10;2018;0,17;Galpones;6216611;384850
0;media;119,67;E10;2019;0,00;Galpones;6216611;384850
9;alta;118,54;E11;2018;0,76;Usina;6216680;384632
12;alta;121,4;E11;2019;0,99;Usina;6216680;384632
29;alta;115,98;E12;2018;2,50;Club Brisas;6216631;384393
19;alta;119,35;E12;2019;1,59;Club Brisas;6216631;384393
0;media;118,36;E13;2018;0,00;Circunvlacion Oeste ;6216622;384283
1;media;119,55;E13;2019;0,08;Circunvlacion Oeste;6216622;384283
2;media;1026;E13;2021;0,02;Circunvlacion Oeste;6216622;384283
21;media;118,51;E14;2018;1,77;Canaveral Tata;6216762;384384
1;media;119,39;E14;2019;0,08;Canaveral Tata;6216762;384384
3;media;120,26;E15;2018;0,25;Cementerio ;6216787;384588
2;media;119,76;E15;2019;0,17;Cementerio;6216787;384588
0;media;115,67;E16;2018;0,00;Basural viejo entrada;6216853;384271
0;media;115,5;E16;2019;0,00;Basural viejo entrada;6216853;384271
3;media;1028;E16;2021;0,03;Basural viejo entrada;6216853;384271
0;baja;117,74;E17;2018;0,00;Biologos Suroeste ;6217218;384600
0;baja;119,76;E17;2019;0,00;Biologos Suroeste;6217218;384600
0;baja;118,38;E18;2018;0,00;Arenal grande selva;6217150;384900
0;baja;119,87;E18;2019;0,00;Arenal grande selva;6217150;384900
0;baja;114,84;E19;2018;0,00;Arenal grande interior;6217161;384771
3;baja;119,76;E19;2019;0,25;Arenal grande interior;6217161;384771
1;baja;119,56;E20;2018;0,08;Arenal grande entrada;6217114;384764
8;baja;119,1;E20;2019;0,67;Arenal grande entrada;6217114;384764
1;media;115,99;E21;2018;0,09;Arenal chico cantera;6217007;384180
0;media;115,72;E21;2019;0,00;Arenal chico cantera;6217007;384180
4;media;1019;E21;2021;0,04;Arenal chico cantera;6217007;384180
1;media;112,97;E22;2018;0,09;Arenal chico interior;6216991;384214
2;media;119,41;E22;2019;0,17;Arenal chico interior;6216991;384214
3;media;112,24;E23;2018;0,27;Barrio chino;6217085;384230
1;media;119,63;E23;2019;0,08;Barrio chino;6217085;384230
0;baja;116,4;E24;2018;0,00;Selva Oeste;6217140;384408
0;baja;115,85;E24;2019;0,00;Selva Oeste;6217140;384408
0;baja;119,33;E25;2018;0,00;Punta La Gata;6217647;384510
0;baja;119,44;E25;2019;0,00;Punta La Gata;6217647;384510
2;baja;808;E25;2021;0,02;Punta La Gata;6217647;384510
0;baja;117,09;E26;2018;0,00;Polvorin viejo CB;6217417;384722
0;baja;119,69;E26;2019;0,00;Polvorin viejo CB;6217417;384722
2;baja;117,36;E27;2018;0,17;Camino prepista norte;6217568;384846
3;baja;119,66;E27;2019;0,25;Camino prepista norte;6217568;384846
0;baja;629;E27;2021;0,00;Camino prepista norte;6217568;384846
0;media;117,64;E28;2018;0,00;Intangible Norte cantera;6217559;385005
1;media;119,52;E28;2019;0,08;Intangible Norte cantera;6217559;385005
0;media;119,14;E29;2018;0,00;Intangible norte ultimo foco;6217491;385037
0;media;119,59;E29;2019;0,00;Intangible norte ultimo foco;6217491;385037
1;media;116,82;E30;2018;0,09;Polvorin pista media;6216919;384957
2;media;119,54;E30;2019;0,17;Polvorin pista media;6216919;384957
0;media;119,88;E31;2018;0,00;Intangible pista media;6217025;385133
2;media;120,04;E31;2019;0,17;Intangible pista media;6217025;385133
3;media;119,14;E32;2018;0,25;Bosque entre campings;6216394;384921
1;media;120,07;E32;2019;0,08;Bosque entre campings;6216394;384921
128;alta;117,98;E33;2018;10,85;Fragata;6216342;384334
659;alta;119,41;E33;2019;55,19;Fragata;6216342;384334
72;alta;118,78;E34;2018;6,06;Museo;6216318;384497
208;alta;119,81;E34;2019;17,36;Museo;6216318;384497
;;;;;;;;
