PRE_POST;Station;Species;DateTimeOriginal;Date;Time;n_images;metadata_Grupo
PRE;E01;Gato;30/08/2018 11:22;30/08/2018;11:22:01 a. m.;3;NA
PRE;E01;Gato;31/08/2018 11:57;31/08/2018;11:57:07 a. m.;3;NA
PRE;E01;Gato;01/09/2018 9:14;01/09/2018;9:14:31 a. m.;3;NA
PRE;E02;Gato;14/08/2018 21:29;14/08/2018;9:29:59 p. m.;6;NA
PRE;E03;Gato;20/08/2018 20:24;20/08/2018;8:24:16 p. m.;3;NA
PRE;E03;Gato;20/08/2018 21:20;20/08/2018;9:20:53 p. m.;3;NA
PRE;E03;Gato;21/08/2018 1:07;21/08/2018;1:07:56 a. m.;3;NA
PRE;E03;Gato;21/08/2018 2:21;21/08/2018;2:21:03 a. m.;3;NA
PRE;E03;Gato;21/08/2018 3:12;21/08/2018;3:12:44 a. m.;3;NA
PRE;E03;Gato;21/08/2018 3:51;21/08/2018;3:51:50 a. m.;3;NA
PRE;E03;Gato;21/08/2018 4:00;21/08/2018;4:00:21 a. m.;3;NA
PRE;E03;Gato;21/08/2018 10:11;21/08/2018;10:11:56 a. m.;3;NA
PRE;E03;Gato;21/08/2018 14:15;21/08/2018;2:15:01 p. m.;3;NA
PRE;E03;Gato;21/08/2018 14:53;21/08/2018;2:53:58 p. m.;3;NA
PRE;E03;Gato;21/08/2018 14:59;21/08/2018;2:59:03 p. m.;3;NA
PRE;E03;Gato;21/08/2018 20:14;21/08/2018;8:14:52 p. m.;3;NA
PRE;E03;Gato;21/08/2018 20:19;21/08/2018;8:19:13 p. m.;3;NA
PRE;E03;Gato;21/08/2018 20:38;21/08/2018;8:38:40 p. m.;3;NA
PRE;E03;Gato;22/08/2018 2:29;22/08/2018;2:29:54 a. m.;3;NA
PRE;E03;Gato;22/08/2018 3:02;22/08/2018;3:02:51 a. m.;3;NA
PRE;E03;Gato;22/08/2018 3:45;22/08/2018;3:45:49 a. m.;3;NA
PRE;E03;Gato;22/08/2018 9:52;22/08/2018;9:52:19 a. m.;3;NA
PRE;E03;Gato;22/08/2018 12:41;22/08/2018;12:41:06 p. m.;3;NA
PRE;E03;Gato;22/08/2018 13:15;22/08/2018;1:15:23 p. m.;3;NA
PRE;E03;Gato;22/08/2018 18:44;22/08/2018;6:44:03 p. m.;6;NA
PRE;E03;Gato;22/08/2018 18:48;22/08/2018;6:48:10 p. m.;3;NA
PRE;E03;Gato;23/08/2018 3:16;23/08/2018;3:16:42 a. m.;3;NA
PRE;E03;Gato;23/08/2018 4:08;23/08/2018;4:08:05 a. m.;6;NA
PRE;E03;Gato;23/08/2018 9:17;23/08/2018;9:17:41 a. m.;3;NA
PRE;E03;Gato;23/08/2018 14:07;23/08/2018;2:07:38 p. m.;3;NA
PRE;E03;Gato;23/08/2018 14:30;23/08/2018;2:30:45 p. m.;3;NA
PRE;E03;Gato;23/08/2018 15:58;23/08/2018;3:58:35 p. m.;3;NA
PRE;E03;Gato;23/08/2018 16:20;23/08/2018;4:20:34 p. m.;3;NA
PRE;E03;Gato;23/08/2018 18:27;23/08/2018;6:27:49 p. m.;3;NA
