"","PRE_POST","Station","FechayHora","Species","Grupo","Cuando","hora_redondeo","hora"
"1","PRE","E01","30/08/2018 11:22","Gato",1,2018-08-30 11:22:00,2018-08-30 11:00:00,11
"2","PRE","E01","31/08/2018 11:57","Gato",1,2018-08-31 11:57:00,2018-08-31 12:00:00,12
"3","PRE","E01","01/09/2018 9:14","Gato",1,2018-09-01 09:14:00,2018-09-01 09:00:00,9
"4","PRE","E02","14/08/2018 21:29","Gato",1,2018-08-14 21:29:00,2018-08-14 21:00:00,21
"5","PRE","E03","20/08/2018 20:24","Gato",1,2018-08-20 20:24:00,2018-08-20 20:00:00,20
"6","PRE","E03","20/08/2018 21:20","Gato",1,2018-08-20 21:20:00,2018-08-20 21:00:00,21
"7","PRE","E03","21/08/2018 1:07","Gato",1,2018-08-21 01:07:00,2018-08-21 01:00:00,1
"8","PRE","E03","21/08/2018 2:21","Gato",1,2018-08-21 02:21:00,2018-08-21 02:00:00,2
"9","PRE","E03","21/08/2018 3:12","Gato",1,2018-08-21 03:12:00,2018-08-21 03:00:00,3
"10","PRE","E03","21/08/2018 3:51","Gato",1,2018-08-21 03:51:00,2018-08-21 04:00:00,4
"11","PRE","E03","21/08/2018 4:00","Gato",1,2018-08-21 04:00:00,2018-08-21 04:00:00,4
"12","PRE","E03","21/08/2018 10:11","Gato",1,2018-08-21 10:11:00,2018-08-21 10:00:00,10
"13","PRE","E03","21/08/2018 14:15","Gato",1,2018-08-21 14:15:00,2018-08-21 14:00:00,14
"14","PRE","E03","21/08/2018 14:53","Gato",1,2018-08-21 14:53:00,2018-08-21 15:00:00,15
"15","PRE","E03","21/08/2018 14:59","Gato",1,2018-08-21 14:59:00,2018-08-21 15:00:00,15
"16","PRE","E03","21/08/2018 20:14","Gato",1,2018-08-21 20:14:00,2018-08-21 20:00:00,20
"17","PRE","E03","21/08/2018 20:19","Gato",1,2018-08-21 20:19:00,2018-08-21 20:00:00,20
"18","PRE","E03","21/08/2018 20:38","Gato",1,2018-08-21 20:38:00,2018-08-21 21:00:00,21
"19","PRE","E03","22/08/2018 2:29","Gato",1,2018-08-22 02:29:00,2018-08-22 02:00:00,2
"20","PRE","E03","22/08/2018 3:02","Gato",1,2018-08-22 03:02:00,2018-08-22 03:00:00,3
"21","PRE","E03","22/08/2018 3:45","Gato",1,2018-08-22 03:45:00,2018-08-22 04:00:00,4
"22","PRE","E03","22/08/2018 9:52","Gato",1,2018-08-22 09:52:00,2018-08-22 10:00:00,10
"23","PRE","E03","22/08/2018 12:41","Gato",1,2018-08-22 12:41:00,2018-08-22 13:00:00,13
"24","PRE","E03","22/08/2018 13:15","Gato",1,2018-08-22 13:15:00,2018-08-22 13:00:00,13
"25","PRE","E03","22/08/2018 18:44","Gato",1,2018-08-22 18:44:00,2018-08-22 19:00:00,19
"26","PRE","E03","22/08/2018 18:48","Gato",1,2018-08-22 18:48:00,2018-08-22 19:00:00,19
"27","PRE","E03","23/08/2018 3:16","Gato",1,2018-08-23 03:16:00,2018-08-23 03:00:00,3
"28","PRE","E03","23/08/2018 4:08","Gato",1,2018-08-23 04:08:00,2018-08-23 04:00:00,4
"29","PRE","E03","23/08/2018 9:17","Gato",1,2018-08-23 09:17:00,2018-08-23 09:00:00,9
"30","PRE","E03","23/08/2018 14:07","Gato",1,2018-08-23 14:07:00,2018-08-23 14:00:00,14
"31","PRE","E03","23/08/2018 14:30","Gato",1,2018-08-23 14:30:00,2018-08-23 15:00:00,15
"32","PRE","E03","23/08/2018 15:58","Gato",1,2018-08-23 15:58:00,2018-08-23 16:00:00,16
"33","PRE","E03","23/08/2018 16:20","Gato",1,2018-08-23 16:20:00,2018-08-23 16:00:00,16
"34","PRE","E03","23/08/2018 18:27","Gato",1,2018-08-23 18:27:00,2018-08-23 18:00:00,18
"35","PRE","E03","24/08/2018 2:23","Gato",1,2018-08-24 02:23:00,2018-08-24 02:00:00,2
"36","PRE","E03","24/08/2018 6:31","Gato",1,2018-08-24 06:31:00,2018-08-24 07:00:00,7
"37","PRE","E03","24/08/2018 7:41","Gato",1,2018-08-24 07:41:00,2018-08-24 08:00:00,8
"38","PRE","E03","24/08/2018 7:52","Gato",1,2018-08-24 07:52:00,2018-08-24 08:00:00,8
"39","PRE","E03","24/08/2018 10:54","Gato",1,2018-08-24 10:54:00,2018-08-24 11:00:00,11
"40","PRE","E03","24/08/2018 11:17","Gato",1,2018-08-24 11:17:00,2018-08-24 11:00:00,11
"41","PRE","E03","24/08/2018 12:06","Gato",1,2018-08-24 12:06:00,2018-08-24 12:00:00,12
"42","PRE","E03","24/08/2018 13:21","Gato",1,2018-08-24 13:21:00,2018-08-24 13:00:00,13
"43","PRE","E03","24/08/2018 13:29","Gato",1,2018-08-24 13:29:00,2018-08-24 13:00:00,13
"44","PRE","E03","24/08/2018 21:38","Gato",1,2018-08-24 21:38:00,2018-08-24 22:00:00,22
"45","PRE","E03","25/08/2018 6:30","Gato",1,2018-08-25 06:30:00,2018-08-25 07:00:00,7
"46","PRE","E03","25/08/2018 9:29","Gato",1,2018-08-25 09:29:00,2018-08-25 09:00:00,9
"47","PRE","E04","13/08/2018 18:26","Gato",1,2018-08-13 18:26:00,2018-08-13 18:00:00,18
"48","PRE","E04","15/08/2018 15:04","Gato",1,2018-08-15 15:04:00,2018-08-15 15:00:00,15
"49","PRE","E04","16/08/2018 9:42","Gato",1,2018-08-16 09:42:00,2018-08-16 10:00:00,10
"50","PRE","E04","18/08/2018 6:39","Gato",1,2018-08-18 06:39:00,2018-08-18 07:00:00,7
"51","PRE","E05","14/08/2018 7:36","Gato",1,2018-08-14 07:36:00,2018-08-14 08:00:00,8
"52","PRE","E05","14/08/2018 11:28","Gato",1,2018-08-14 11:28:00,2018-08-14 11:00:00,11
"53","PRE","E05","15/08/2018 16:54","Gato",1,2018-08-15 16:54:00,2018-08-15 17:00:00,17
"54","PRE","E06","30/08/2018 23:43","Gato",1,2018-08-30 23:43:00,2018-08-31 00:00:00,0
"55","PRE","E06","31/08/2018 6:48","Gato",1,2018-08-31 06:48:00,2018-08-31 07:00:00,7
"56","PRE","E06","31/08/2018 8:35","Gato",1,2018-08-31 08:35:00,2018-08-31 09:00:00,9
"57","PRE","E07","21/08/2018 18:59","Gato",1,2018-08-21 18:59:00,2018-08-21 19:00:00,19
"58","PRE","E07","22/08/2018 22:44","Gato",1,2018-08-22 22:44:00,2018-08-22 23:00:00,23
"59","PRE","E08","17/08/2018 22:39","Gato",1,2018-08-17 22:39:00,2018-08-17 23:00:00,23
"60","PRE","E08","18/08/2018 6:36","Gato",1,2018-08-18 06:36:00,2018-08-18 07:00:00,7
"61","PRE","E08","18/08/2018 10:34","Gato",1,2018-08-18 10:34:00,2018-08-18 11:00:00,11
"62","PRE","E08","19/08/2018 15:04","Gato",1,2018-08-19 15:04:00,2018-08-19 15:00:00,15
"63","PRE","E08","19/08/2018 15:51","Gato",1,2018-08-19 15:51:00,2018-08-19 16:00:00,16
"64","PRE","E08","19/08/2018 21:11","Gato",1,2018-08-19 21:11:00,2018-08-19 21:00:00,21
"65","PRE","E08","20/08/2018 1:35","Gato",1,2018-08-20 01:35:00,2018-08-20 02:00:00,2
"66","PRE","E08","20/08/2018 21:36","Gato",1,2018-08-20 21:36:00,2018-08-20 22:00:00,22
"67","PRE","E08","22/08/2018 1:48","Gato",1,2018-08-22 01:48:00,2018-08-22 02:00:00,2
"68","PRE","E08","22/08/2018 2:40","Gato",1,2018-08-22 02:40:00,2018-08-22 03:00:00,3
"69","PRE","E08","22/08/2018 3:48","Gato",1,2018-08-22 03:48:00,2018-08-22 04:00:00,4
"70","PRE","E09","14/08/2018 13:57","Gato",1,2018-08-14 13:57:00,2018-08-14 14:00:00,14
"71","PRE","E09","14/08/2018 16:53","Gato",1,2018-08-14 16:53:00,2018-08-14 17:00:00,17
"72","PRE","E10","30/08/2018 8:11","Gato",1,2018-08-30 08:11:00,2018-08-30 08:00:00,8
"73","PRE","E10","30/08/2018 8:14","Gato",1,2018-08-30 08:14:00,2018-08-30 08:00:00,8
"74","PRE","E11","27/08/2018 18:28","Gato",1,2018-08-27 18:28:00,2018-08-27 18:00:00,18
"75","PRE","E11","28/08/2018 0:13","Gato",1,2018-08-28 00:13:00,2018-08-28 00:00:00,0
"76","PRE","E11","28/08/2018 5:49","Gato",1,2018-08-28 05:49:00,2018-08-28 06:00:00,6
"77","PRE","E11","28/08/2018 10:03","Gato",1,2018-08-28 10:03:00,2018-08-28 10:00:00,10
"78","PRE","E11","28/08/2018 15:52","Gato",1,2018-08-28 15:52:00,2018-08-28 16:00:00,16
"79","PRE","E11","28/08/2018 19:55","Gato",1,2018-08-28 19:55:00,2018-08-28 20:00:00,20
"80","PRE","E11","29/08/2018 2:33","Gato",1,2018-08-29 02:33:00,2018-08-29 03:00:00,3
"81","PRE","E11","31/08/2018 13:08","Gato",1,2018-08-31 13:08:00,2018-08-31 13:00:00,13
"82","PRE","E11","31/08/2018 15:17","Gato",1,2018-08-31 15:17:00,2018-08-31 15:00:00,15
"83","PRE","E12","20/08/2018 14:24","Gato",1,2018-08-20 14:24:00,2018-08-20 14:00:00,14
"84","PRE","E12","20/08/2018 15:03","Gato",1,2018-08-20 15:03:00,2018-08-20 15:00:00,15
"85","PRE","E12","20/08/2018 17:43","Gato",1,2018-08-20 17:43:00,2018-08-20 18:00:00,18
"86","PRE","E12","21/08/2018 9:00","Gato",1,2018-08-21 09:00:00,2018-08-21 09:00:00,9
"87","PRE","E12","21/08/2018 10:37","Gato",1,2018-08-21 10:37:00,2018-08-21 11:00:00,11
"88","PRE","E12","21/08/2018 11:31","Gato",1,2018-08-21 11:31:00,2018-08-21 12:00:00,12
"89","PRE","E12","21/08/2018 12:53","Gato",1,2018-08-21 12:53:00,2018-08-21 13:00:00,13
"90","PRE","E12","21/08/2018 14:03","Gato",1,2018-08-21 14:03:00,2018-08-21 14:00:00,14
"91","PRE","E12","21/08/2018 14:15","Gato",1,2018-08-21 14:15:00,2018-08-21 14:00:00,14
"92","PRE","E12","21/08/2018 15:52","Gato",1,2018-08-21 15:52:00,2018-08-21 16:00:00,16
"93","PRE","E12","21/08/2018 16:39","Gato",1,2018-08-21 16:39:00,2018-08-21 17:00:00,17
"94","PRE","E12","21/08/2018 17:10","Gato",1,2018-08-21 17:10:00,2018-08-21 17:00:00,17
"95","PRE","E12","21/08/2018 18:11","Gato",1,2018-08-21 18:11:00,2018-08-21 18:00:00,18
"96","PRE","E12","22/08/2018 10:31","Gato",1,2018-08-22 10:31:00,2018-08-22 11:00:00,11
"97","PRE","E12","22/08/2018 13:28","Gato",1,2018-08-22 13:28:00,2018-08-22 13:00:00,13
"98","PRE","E12","22/08/2018 15:18","Gato",1,2018-08-22 15:18:00,2018-08-22 15:00:00,15
"99","PRE","E12","22/08/2018 15:37","Gato",1,2018-08-22 15:37:00,2018-08-22 16:00:00,16
"100","PRE","E12","23/08/2018 0:07","Gato",1,2018-08-23 00:07:00,2018-08-23 00:00:00,0
"101","PRE","E12","23/08/2018 8:37","Gato",1,2018-08-23 08:37:00,2018-08-23 09:00:00,9
"102","PRE","E12","23/08/2018 12:33","Gato",1,2018-08-23 12:33:00,2018-08-23 13:00:00,13
"103","PRE","E12","23/08/2018 17:18","Gato",1,2018-08-23 17:18:00,2018-08-23 17:00:00,17
"104","PRE","E12","23/08/2018 17:41","Gato",1,2018-08-23 17:41:00,2018-08-23 18:00:00,18
"105","PRE","E12","23/08/2018 18:23","Gato",1,2018-08-23 18:23:00,2018-08-23 18:00:00,18
"106","PRE","E12","23/08/2018 19:37","Gato",1,2018-08-23 19:37:00,2018-08-23 20:00:00,20
"107","PRE","E12","23/08/2018 19:49","Gato",1,2018-08-23 19:49:00,2018-08-23 20:00:00,20
"108","PRE","E12","23/08/2018 23:21","Gato",1,2018-08-23 23:21:00,2018-08-23 23:00:00,23
"109","PRE","E12","24/08/2018 1:42","Gato",1,2018-08-24 01:42:00,2018-08-24 02:00:00,2
"110","PRE","E12","24/08/2018 13:56","Gato",1,2018-08-24 13:56:00,2018-08-24 14:00:00,14
"111","PRE","E12","24/08/2018 19:24","Gato",1,2018-08-24 19:24:00,2018-08-24 19:00:00,19
"112","PRE","E14","27/08/2018 14:55","Gato",1,2018-08-27 14:55:00,2018-08-27 15:00:00,15
"113","PRE","E14","27/08/2018 15:04","Gato",1,2018-08-27 15:04:00,2018-08-27 15:00:00,15
"114","PRE","E14","27/08/2018 17:15","Gato",1,2018-08-27 17:15:00,2018-08-27 17:00:00,17
"115","PRE","E14","28/08/2018 0:52","Gato",1,2018-08-28 00:52:00,2018-08-28 01:00:00,1
"116","PRE","E14","28/08/2018 8:37","Gato",1,2018-08-28 08:37:00,2018-08-28 09:00:00,9
"117","PRE","E14","28/08/2018 9:08","Gato",1,2018-08-28 09:08:00,2018-08-28 09:00:00,9
"118","PRE","E14","28/08/2018 9:08","Gato",1,2018-08-28 09:08:00,2018-08-28 09:00:00,9
"119","PRE","E14","28/08/2018 18:01","Gato",1,2018-08-28 18:01:00,2018-08-28 18:00:00,18
"120","PRE","E14","28/08/2018 19:31","Gato",1,2018-08-28 19:31:00,2018-08-28 20:00:00,20
"121","PRE","E14","29/08/2018 12:37","Gato",1,2018-08-29 12:37:00,2018-08-29 13:00:00,13
"122","PRE","E14","29/08/2018 14:10","Gato",1,2018-08-29 14:10:00,2018-08-29 14:00:00,14
"123","PRE","E14","29/08/2018 16:49","Gato",1,2018-08-29 16:49:00,2018-08-29 17:00:00,17
"124","PRE","E14","29/08/2018 17:48","Gato",1,2018-08-29 17:48:00,2018-08-29 18:00:00,18
"125","PRE","E14","30/08/2018 1:33","Gato",1,2018-08-30 01:33:00,2018-08-30 02:00:00,2
"126","PRE","E14","30/08/2018 21:09","Gato",1,2018-08-30 21:09:00,2018-08-30 21:00:00,21
"127","PRE","E14","30/08/2018 23:46","Gato",1,2018-08-30 23:46:00,2018-08-31 00:00:00,0
"128","PRE","E14","31/08/2018 3:21","Gato",1,2018-08-31 03:21:00,2018-08-31 03:00:00,3
"129","PRE","E14","31/08/2018 19:39","Gato",1,2018-08-31 19:39:00,2018-08-31 20:00:00,20
"130","PRE","E14","31/08/2018 19:39","Gato",1,2018-08-31 19:39:00,2018-08-31 20:00:00,20
"131","PRE","E14","01/09/2018 0:15","Gato",1,2018-09-01 00:15:00,2018-09-01 00:00:00,0
"132","PRE","E14","01/09/2018 0:53","Gato",1,2018-09-01 00:53:00,2018-09-01 01:00:00,1
"133","PRE","E15","21/08/2018 19:53","Gato",1,2018-08-21 19:53:00,2018-08-21 20:00:00,20
"134","PRE","E15","24/08/2018 0:04","Gato",1,2018-08-24 00:04:00,2018-08-24 00:00:00,0
"135","PRE","E15","24/08/2018 23:06","Gato",1,2018-08-24 23:06:00,2018-08-24 23:00:00,23
"136","PRE","E20","29/08/2018 0:59","Gato",1,2018-08-29 00:59:00,2018-08-29 01:00:00,1
"137","PRE","E21","18/08/2018 3:07","Gato",1,2018-08-18 03:07:00,2018-08-18 03:00:00,3
"138","PRE","E22","21/08/2018 13:21","Gato",1,2018-08-21 13:21:00,2018-08-21 13:00:00,13
"139","PRE","E23","22/08/2018 16:59","Gato",1,2018-08-22 16:59:00,2018-08-22 17:00:00,17
"140","PRE","E23","22/08/2018 21:59","Gato",1,2018-08-22 21:59:00,2018-08-22 22:00:00,22
