nro;PRE_POST;Station;FechayHora;Species2;Species;Grupo;Cuando;hora_redondeo;hora
1;PRE;E01;30/08/2018 11:22;Gato;Gato_2018;1;30/08/2018 11:22;30/08/2018 11:00;11
2;PRE;E01;31/08/2018 11:57;Gato;Gato_2018;1;31/08/2018 11:57;31/08/2018 12:00;12
3;PRE;E01;01/09/2018 9:14;Gato;Gato_2018;1;01/09/2018 9:14;01/09/2018 9:00;9
4;PRE;E02;14/08/2018 21:29;Gato;Gato_2018;1;14/08/2018 21:29;14/08/2018 21:00;21
5;PRE;E03;20/08/2018 20:24;Gato;Gato_2018;1;20/08/2018 20:24;20/08/2018 20:00;20
6;PRE;E03;20/08/2018 21:20;Gato;Gato_2018;1;20/08/2018 21:20;20/08/2018 21:00;21
7;PRE;E03;21/08/2018 1:07;Gato;Gato_2018;1;21/08/2018 1:07;21/08/2018 1:00;1
8;PRE;E03;21/08/2018 2:21;Gato;Gato_2018;1;21/08/2018 2:21;21/08/2018 2:00;2
9;PRE;E03;21/08/2018 3:12;Gato;Gato_2018;1;21/08/2018 3:12;21/08/2018 3:00;3
10;PRE;E03;21/08/2018 3:51;Gato;Gato_2018;1;21/08/2018 3:51;21/08/2018 4:00;4
11;PRE;E03;21/08/2018 4:00;Gato;Gato_2018;1;21/08/2018 4:00;21/08/2018 4:00;4
12;PRE;E03;21/08/2018 10:11;Gato;Gato_2018;1;21/08/2018 10:11;21/08/2018 10:00;10
13;PRE;E03;21/08/2018 14:15;Gato;Gato_2018;1;21/08/2018 14:15;21/08/2018 14:00;14
14;PRE;E03;21/08/2018 14:53;Gato;Gato_2018;1;21/08/2018 14:53;21/08/2018 15:00;15
15;PRE;E03;21/08/2018 14:59;Gato;Gato_2018;1;21/08/2018 14:59;21/08/2018 15:00;15
16;PRE;E03;21/08/2018 20:14;Gato;Gato_2018;1;21/08/2018 20:14;21/08/2018 20:00;20
17;PRE;E03;21/08/2018 20:19;Gato;Gato_2018;1;21/08/2018 20:19;21/08/2018 20:00;20
18;PRE;E03;21/08/2018 20:38;Gato;Gato_2018;1;21/08/2018 20:38;21/08/2018 21:00;21
19;PRE;E03;22/08/2018 2:29;Gato;Gato_2018;1;22/08/2018 2:29;22/08/2018 2:00;2
20;PRE;E03;22/08/2018 3:02;Gato;Gato_2018;1;22/08/2018 3:02;22/08/2018 3:00;3
21;PRE;E03;22/08/2018 3:45;Gato;Gato_2018;1;22/08/2018 3:45;22/08/2018 4:00;4
22;PRE;E03;22/08/2018 9:52;Gato;Gato_2018;1;22/08/2018 9:52;22/08/2018 10:00;10
23;PRE;E03;22/08/2018 12:41;Gato;Gato_2018;1;22/08/2018 12:41;22/08/2018 13:00;13
24;PRE;E03;22/08/2018 13:15;Gato;Gato_2018;1;22/08/2018 13:15;22/08/2018 13:00;13
25;PRE;E03;22/08/2018 18:44;Gato;Gato_2018;1;22/08/2018 18:44;22/08/2018 19:00;19
26;PRE;E03;22/08/2018 18:48;Gato;Gato_2018;1;22/08/2018 18:48;22/08/2018 19:00;19
27;PRE;E03;23/08/2018 3:16;Gato;Gato_2018;1;23/08/2018 3:16;23/08/2018 3:00;3
28;PRE;E03;23/08/2018 4:08;Gato;Gato_2018;1;23/08/2018 4:08;23/08/2018 4:00;4
29;PRE;E03;23/08/2018 9:17;Gato;Gato_2018;1;23/08/2018 9:17;23/08/2018 9:00;9
30;PRE;E03;23/08/2018 14:07;Gato;Gato_2018;1;23/08/2018 14:07;23/08/2018 14:00;14
31;PRE;E03;23/08/2018 14:30;Gato;Gato_2018;1;23/08/2018 14:30;23/08/2018 15:00;15
32;PRE;E03;23/08/2018 15:58;Gato;Gato_2018;1;23/08/2018 15:58;23/08/2018 16:00;16
33;PRE;E03;23/08/2018 16:20;Gato;Gato_2018;1;23/08/2018 16:20;23/08/2018 16:00;16
34;PRE;E03;23/08/2018 18:27;Gato;Gato_2018;1;23/08/2018 18:27;23/08/2018 18:00;18
35;PRE;E03;24/08/2018 2:23;Gato;Gato_2018;1;24/08/2018 2:23;24/08/2018 2:00;2
36;PRE;E03;24/08/2018 6:31;Gato;Gato_2018;1;24/08/2018 6:31;24/08/2018 7:00;7
37;PRE;E03;24/08/2018 7:41;Gato;Gato_2018;1;24/08/2018 7:41;24/08/2018 8:00;8
38;PRE;E03;24/08/2018 7:52;Gato;Gato_2018;1;24/08/2018 7:52;24/08/2018 8:00;8
39;PRE;E03;24/08/2018 10:54;Gato;Gato_2018;1;24/08/2018 10:54;24/08/2018 11:00;11
40;PRE;E03;24/08/2018 11:17;Gato;Gato_2018;1;24/08/2018 11:17;24/08/2018 11:00;11
41;PRE;E03;24/08/2018 12:06;Gato;Gato_2018;1;24/08/2018 12:06;24/08/2018 12:00;12
42;PRE;E03;24/08/2018 13:21;Gato;Gato_2018;1;24/08/2018 13:21;24/08/2018 13:00;13
43;PRE;E03;24/08/2018 13:29;Gato;Gato_2018;1;24/08/2018 13:29;24/08/2018 13:00;13
44;PRE;E03;24/08/2018 21:38;Gato;Gato_2018;1;24/08/2018 21:38;24/08/2018 22:00;22
45;PRE;E03;25/08/2018 6:30;Gato;Gato_2018;1;25/08/2018 6:30;25/08/2018 7:00;7
46;PRE;E03;25/08/2018 9:29;Gato;Gato_2018;1;25/08/2018 9:29;25/08/2018 9:00;9
47;PRE;E04;13/08/2018 18:26;Gato;Gato_2018;1;13/08/2018 18:26;13/08/2018 18:00;18
48;PRE;E04;15/08/2018 15:04;Gato;Gato_2018;1;15/08/2018 15:04;15/08/2018 15:00;15
49;PRE;E04;16/08/2018 9:42;Gato;Gato_2018;1;16/08/2018 9:42;16/08/2018 10:00;10
50;PRE;E04;18/08/2018 6:39;Gato;Gato_2018;1;18/08/2018 6:39;18/08/2018 7:00;7
51;PRE;E05;14/08/2018 7:36;Gato;Gato_2018;1;14/08/2018 7:36;14/08/2018 8:00;8
52;PRE;E05;14/08/2018 11:28;Gato;Gato_2018;1;14/08/2018 11:28;14/08/2018 11:00;11
53;PRE;E05;15/08/2018 16:54;Gato;Gato_2018;1;15/08/2018 16:54;15/08/2018 17:00;17
54;PRE;E06;30/08/2018 23:43;Gato;Gato_2018;1;30/08/2018 23:43;31/08/2018 0:00;0
55;PRE;E06;31/08/2018 6:48;Gato;Gato_2018;1;31/08/2018 6:48;31/08/2018 7:00;7
56;PRE;E06;31/08/2018 8:35;Gato;Gato_2018;1;31/08/2018 8:35;31/08/2018 9:00;9
57;PRE;E07;21/08/2018 18:59;Gato;Gato_2018;1;21/08/2018 18:59;21/08/2018 19:00;19
58;PRE;E07;22/08/2018 22:44;Gato;Gato_2018;1;22/08/2018 22:44;22/08/2018 23:00;23
59;PRE;E08;17/08/2018 22:39;Gato;Gato_2018;1;17/08/2018 22:39;17/08/2018 23:00;23
60;PRE;E08;18/08/2018 6:36;Gato;Gato_2018;1;18/08/2018 6:36;18/08/2018 7:00;7
61;PRE;E08;18/08/2018 10:34;Gato;Gato_2018;1;18/08/2018 10:34;18/08/2018 11:00;11
62;PRE;E08;19/08/2018 15:04;Gato;Gato_2018;1;19/08/2018 15:04;19/08/2018 15:00;15
63;PRE;E08;19/08/2018 15:51;Gato;Gato_2018;1;19/08/2018 15:51;19/08/2018 16:00;16
64;PRE;E08;19/08/2018 21:11;Gato;Gato_2018;1;19/08/2018 21:11;19/08/2018 21:00;21
65;PRE;E08;20/08/2018 1:35;Gato;Gato_2018;1;20/08/2018 1:35;20/08/2018 2:00;2
66;PRE;E08;20/08/2018 21:36;Gato;Gato_2018;1;20/08/2018 21:36;20/08/2018 22:00;22
67;PRE;E08;22/08/2018 1:48;Gato;Gato_2018;1;22/08/2018 1:48;22/08/2018 2:00;2
68;PRE;E08;22/08/2018 2:40;Gato;Gato_2018;1;22/08/2018 2:40;22/08/2018 3:00;3
69;PRE;E08;22/08/2018 3:48;Gato;Gato_2018;1;22/08/2018 3:48;22/08/2018 4:00;4
70;PRE;E09;14/08/2018 13:57;Gato;Gato_2018;1;14/08/2018 13:57;14/08/2018 14:00;14
71;PRE;E09;14/08/2018 16:53;Gato;Gato_2018;1;14/08/2018 16:53;14/08/2018 17:00;17
72;PRE;E10;30/08/2018 8:11;Gato;Gato_2018;1;30/08/2018 8:11;30/08/2018 8:00;8
73;PRE;E10;30/08/2018 8:14;Gato;Gato_2018;1;30/08/2018 8:14;30/08/2018 8:00;8
74;PRE;E11;27/08/2018 18:28;Gato;Gato_2018;1;27/08/2018 18:28;27/08/2018 18:00;18
75;PRE;E11;28/08/2018 0:13;Gato;Gato_2018;1;28/08/2018 0:13;28/08/2018 0:00;0
76;PRE;E11;28/08/2018 5:49;Gato;Gato_2018;1;28/08/2018 5:49;28/08/2018 6:00;6
77;PRE;E11;28/08/2018 10:03;Gato;Gato_2018;1;28/08/2018 10:03;28/08/2018 10:00;10
78;PRE;E11;28/08/2018 15:52;Gato;Gato_2018;1;28/08/2018 15:52;28/08/2018 16:00;16
79;PRE;E11;28/08/2018 19:55;Gato;Gato_2018;1;28/08/2018 19:55;28/08/2018 20:00;20
80;PRE;E11;29/08/2018 2:33;Gato;Gato_2018;1;29/08/2018 2:33;29/08/2018 3:00;3
81;PRE;E11;31/08/2018 13:08;Gato;Gato_2018;1;31/08/2018 13:08;31/08/2018 13:00;13
82;PRE;E11;31/08/2018 15:17;Gato;Gato_2018;1;31/08/2018 15:17;31/08/2018 15:00;15
83;PRE;E12;20/08/2018 14:24;Gato;Gato_2018;1;20/08/2018 14:24;20/08/2018 14:00;14
84;PRE;E12;20/08/2018 15:03;Gato;Gato_2018;1;20/08/2018 15:03;20/08/2018 15:00;15
85;PRE;E12;20/08/2018 17:43;Gato;Gato_2018;1;20/08/2018 17:43;20/08/2018 18:00;18
86;PRE;E12;21/08/2018 9:00;Gato;Gato_2018;1;21/08/2018 9:00;21/08/2018 9:00;9
87;PRE;E12;21/08/2018 10:37;Gato;Gato_2018;1;21/08/2018 10:37;21/08/2018 11:00;11
88;PRE;E12;21/08/2018 11:31;Gato;Gato_2018;1;21/08/2018 11:31;21/08/2018 12:00;12
89;PRE;E12;21/08/2018 12:53;Gato;Gato_2018;1;21/08/2018 12:53;21/08/2018 13:00;13
90;PRE;E12;21/08/2018 14:03;Gato;Gato_2018;1;21/08/2018 14:03;21/08/2018 14:00;14
91;PRE;E12;21/08/2018 14:15;Gato;Gato_2018;1;21/08/2018 14:15;21/08/2018 14:00;14
92;PRE;E12;21/08/2018 15:52;Gato;Gato_2018;1;21/08/2018 15:52;21/08/2018 16:00;16
93;PRE;E12;21/08/2018 16:39;Gato;Gato_2018;1;21/08/2018 16:39;21/08/2018 17:00;17
94;PRE;E12;21/08/2018 17:10;Gato;Gato_2018;1;21/08/2018 17:10;21/08/2018 17:00;17
95;PRE;E12;21/08/2018 18:11;Gato;Gato_2018;1;21/08/2018 18:11;21/08/2018 18:00;18
96;PRE;E12;22/08/2018 10:31;Gato;Gato_2018;1;22/08/2018 10:31;22/08/2018 11:00;11
97;PRE;E12;22/08/2018 13:28;Gato;Gato_2018;1;22/08/2018 13:28;22/08/2018 13:00;13
98;PRE;E12;22/08/2018 15:18;Gato;Gato_2018;1;22/08/2018 15:18;22/08/2018 15:00;15
99;PRE;E12;22/08/2018 15:37;Gato;Gato_2018;1;22/08/2018 15:37;22/08/2018 16:00;16
100;PRE;E12;23/08/2018 0:07;Gato;Gato_2018;1;23/08/2018 0:07;23/08/2018 0:00;0
101;PRE;E12;23/08/2018 8:37;Gato;Gato_2018;1;23/08/2018 8:37;23/08/2018 9:00;9
102;PRE;E12;23/08/2018 12:33;Gato;Gato_2018;1;23/08/2018 12:33;23/08/2018 13:00;13
103;PRE;E12;23/08/2018 17:18;Gato;Gato_2018;1;23/08/2018 17:18;23/08/2018 17:00;17
104;PRE;E12;23/08/2018 17:41;Gato;Gato_2018;1;23/08/2018 17:41;23/08/2018 18:00;18
105;PRE;E12;23/08/2018 18:23;Gato;Gato_2018;1;23/08/2018 18:23;23/08/2018 18:00;18
106;PRE;E12;23/08/2018 19:37;Gato;Gato_2018;1;23/08/2018 19:37;23/08/2018 20:00;20
107;PRE;E12;23/08/2018 19:49;Gato;Gato_2018;1;23/08/2018 19:49;23/08/2018 20:00;20
108;PRE;E12;23/08/2018 23:21;Gato;Gato_2018;1;23/08/2018 23:21;23/08/2018 23:00;23
109;PRE;E12;24/08/2018 1:42;Gato;Gato_2018;1;24/08/2018 1:42;24/08/2018 2:00;2
110;PRE;E12;24/08/2018 13:56;Gato;Gato_2018;1;24/08/2018 13:56;24/08/2018 14:00;14
111;PRE;E12;24/08/2018 19:24;Gato;Gato_2018;1;24/08/2018 19:24;24/08/2018 19:00;19
112;PRE;E14;27/08/2018 14:55;Gato;Gato_2018;1;27/08/2018 14:55;27/08/2018 15:00;15
113;PRE;E14;27/08/2018 15:04;Gato;Gato_2018;1;27/08/2018 15:04;27/08/2018 15:00;15
114;PRE;E14;27/08/2018 17:15;Gato;Gato_2018;1;27/08/2018 17:15;27/08/2018 17:00;17
115;PRE;E14;28/08/2018 0:52;Gato;Gato_2018;1;28/08/2018 0:52;28/08/2018 1:00;1
116;PRE;E14;28/08/2018 8:37;Gato;Gato_2018;1;28/08/2018 8:37;28/08/2018 9:00;9
117;PRE;E14;28/08/2018 9:08;Gato;Gato_2018;1;28/08/2018 9:08;28/08/2018 9:00;9
118;PRE;E14;28/08/2018 9:08;Gato;Gato_2018;1;28/08/2018 9:08;28/08/2018 9:00;9
119;PRE;E14;28/08/2018 18:01;Gato;Gato_2018;1;28/08/2018 18:01;28/08/2018 18:00;18
120;PRE;E14;28/08/2018 19:31;Gato;Gato_2018;1;28/08/2018 19:31;28/08/2018 20:00;20
121;PRE;E14;29/08/2018 12:37;Gato;Gato_2018;1;29/08/2018 12:37;29/08/2018 13:00;13
122;PRE;E14;29/08/2018 14:10;Gato;Gato_2018;1;29/08/2018 14:10;29/08/2018 14:00;14
123;PRE;E14;29/08/2018 16:49;Gato;Gato_2018;1;29/08/2018 16:49;29/08/2018 17:00;17
124;PRE;E14;29/08/2018 17:48;Gato;Gato_2018;1;29/08/2018 17:48;29/08/2018 18:00;18
125;PRE;E14;30/08/2018 1:33;Gato;Gato_2018;1;30/08/2018 1:33;30/08/2018 2:00;2
126;PRE;E14;30/08/2018 21:09;Gato;Gato_2018;1;30/08/2018 21:09;30/08/2018 21:00;21
127;PRE;E14;30/08/2018 23:46;Gato;Gato_2018;1;30/08/2018 23:46;31/08/2018 0:00;0
128;PRE;E14;31/08/2018 3:21;Gato;Gato_2018;1;31/08/2018 3:21;31/08/2018 3:00;3
129;PRE;E14;31/08/2018 19:39;Gato;Gato_2018;1;31/08/2018 19:39;31/08/2018 20:00;20
130;PRE;E14;31/08/2018 19:39;Gato;Gato_2018;1;31/08/2018 19:39;31/08/2018 20:00;20
131;PRE;E14;01/09/2018 0:15;Gato;Gato_2018;1;01/09/2018 0:15;01/09/2018 0:00;0
132;PRE;E14;01/09/2018 0:53;Gato;Gato_2018;1;01/09/2018 0:53;01/09/2018 1:00;1
