"","Station","Species","Cuando","hora_redondeo"
"1","E01","Gato_2018","30/08/2018 11:22","30/08/2018 11:00"
"2","E01","Gato_2018","31/08/2018 11:57","31/08/2018 12:00"
"3","E01","Gato_2018","01/09/2018 9:14","01/09/2018 9:00"
"4","E02","Gato_2018","14/08/2018 21:29","14/08/2018 21:00"
"5","E03","Gato_2018","20/08/2018 20:24","20/08/2018 20:00"
"6","E03","Gato_2018","20/08/2018 21:20","20/08/2018 21:00"
"7","E03","Gato_2018","21/08/2018 1:07","21/08/2018 1:00"
"8","E03","Gato_2018","21/08/2018 2:21","21/08/2018 2:00"
"9","E03","Gato_2018","21/08/2018 3:12","21/08/2018 3:00"
"10","E03","Gato_2018","21/08/2018 3:51","21/08/2018 4:00"
"11","E03","Gato_2018","21/08/2018 4:00","21/08/2018 4:00"
"12","E03","Gato_2018","21/08/2018 10:11","21/08/2018 10:00"
"13","E03","Gato_2018","21/08/2018 14:15","21/08/2018 14:00"
"14","E03","Gato_2018","21/08/2018 14:53","21/08/2018 15:00"
"15","E03","Gato_2018","21/08/2018 14:59","21/08/2018 15:00"
"16","E03","Gato_2018","21/08/2018 20:14","21/08/2018 20:00"
"17","E03","Gato_2018","21/08/2018 20:19","21/08/2018 20:00"
"18","E03","Gato_2018","21/08/2018 20:38","21/08/2018 21:00"
"19","E03","Gato_2018","22/08/2018 2:29","22/08/2018 2:00"
"20","E03","Gato_2018","22/08/2018 3:02","22/08/2018 3:00"
"21","E03","Gato_2018","22/08/2018 3:45","22/08/2018 4:00"
"22","E03","Gato_2018","22/08/2018 9:52","22/08/2018 10:00"
"23","E03","Gato_2018","22/08/2018 12:41","22/08/2018 13:00"
"24","E03","Gato_2018","22/08/2018 13:15","22/08/2018 13:00"
"25","E03","Gato_2018","22/08/2018 18:44","22/08/2018 19:00"
"26","E03","Gato_2018","22/08/2018 18:48","22/08/2018 19:00"
"27","E03","Gato_2018","23/08/2018 3:16","23/08/2018 3:00"
"28","E03","Gato_2018","23/08/2018 4:08","23/08/2018 4:00"
"29","E03","Gato_2018","23/08/2018 9:17","23/08/2018 9:00"
"30","E03","Gato_2018","23/08/2018 14:07","23/08/2018 14:00"
"31","E03","Gato_2018","23/08/2018 14:30","23/08/2018 15:00"
"32","E03","Gato_2018","23/08/2018 15:58","23/08/2018 16:00"
"33","E03","Gato_2018","23/08/2018 16:20","23/08/2018 16:00"
"34","E03","Gato_2018","23/08/2018 18:27","23/08/2018 18:00"
"35","E03","Gato_2018","24/08/2018 2:23","24/08/2018 2:00"
"36","E03","Gato_2018","24/08/2018 6:31","24/08/2018 7:00"
"37","E03","Gato_2018","24/08/2018 7:41","24/08/2018 8:00"
"38","E03","Gato_2018","24/08/2018 7:52","24/08/2018 8:00"
"39","E03","Gato_2018","24/08/2018 10:54","24/08/2018 11:00"
"40","E03","Gato_2018","24/08/2018 11:17","24/08/2018 11:00"
"41","E03","Gato_2018","24/08/2018 12:06","24/08/2018 12:00"
"42","E03","Gato_2018","24/08/2018 13:21","24/08/2018 13:00"
"43","E03","Gato_2018","24/08/2018 13:29","24/08/2018 13:00"
"44","E03","Gato_2018","24/08/2018 21:38","24/08/2018 22:00"
"45","E03","Gato_2018","25/08/2018 6:30","25/08/2018 7:00"
"46","E03","Gato_2018","25/08/2018 9:29","25/08/2018 9:00"
"47","E04","Gato_2018","13/08/2018 18:26","13/08/2018 18:00"
"48","E04","Gato_2018","15/08/2018 15:04","15/08/2018 15:00"
"49","E04","Gato_2018","16/08/2018 9:42","16/08/2018 10:00"
"50","E04","Gato_2018","18/08/2018 6:39","18/08/2018 7:00"
"51","E05","Gato_2018","14/08/2018 7:36","14/08/2018 8:00"
"52","E05","Gato_2018","14/08/2018 11:28","14/08/2018 11:00"
"53","E05","Gato_2018","15/08/2018 16:54","15/08/2018 17:00"
"54","E06","Gato_2018","30/08/2018 23:43","31/08/2018 0:00"
"55","E06","Gato_2018","31/08/2018 6:48","31/08/2018 7:00"
"56","E06","Gato_2018","31/08/2018 8:35","31/08/2018 9:00"
"57","E07","Gato_2018","21/08/2018 18:59","21/08/2018 19:00"
"58","E07","Gato_2018","22/08/2018 22:44","22/08/2018 23:00"
"59","E08","Gato_2018","17/08/2018 22:39","17/08/2018 23:00"
"60","E08","Gato_2018","18/08/2018 6:36","18/08/2018 7:00"
"61","E08","Gato_2018","18/08/2018 10:34","18/08/2018 11:00"
"62","E08","Gato_2018","19/08/2018 15:04","19/08/2018 15:00"
"63","E08","Gato_2018","19/08/2018 15:51","19/08/2018 16:00"
"64","E08","Gato_2018","19/08/2018 21:11","19/08/2018 21:00"
"65","E08","Gato_2018","20/08/2018 1:35","20/08/2018 2:00"
"66","E08","Gato_2018","20/08/2018 21:36","20/08/2018 22:00"
"67","E08","Gato_2018","22/08/2018 1:48","22/08/2018 2:00"
"68","E08","Gato_2018","22/08/2018 2:40","22/08/2018 3:00"
"69","E08","Gato_2018","22/08/2018 3:48","22/08/2018 4:00"
"70","E09","Gato_2018","14/08/2018 13:57","14/08/2018 14:00"
"71","E09","Gato_2018","14/08/2018 16:53","14/08/2018 17:00"
"72","E10","Gato_2018","30/08/2018 8:11","30/08/2018 8:00"
"73","E10","Gato_2018","30/08/2018 8:14","30/08/2018 8:00"
"74","E11","Gato_2018","27/08/2018 18:28","27/08/2018 18:00"
"75","E11","Gato_2018","28/08/2018 0:13","28/08/2018 0:00"
"76","E11","Gato_2018","28/08/2018 5:49","28/08/2018 6:00"
"77","E11","Gato_2018","28/08/2018 10:03","28/08/2018 10:00"
"78","E11","Gato_2018","28/08/2018 15:52","28/08/2018 16:00"
"79","E11","Gato_2018","28/08/2018 19:55","28/08/2018 20:00"
"80","E11","Gato_2018","29/08/2018 2:33","29/08/2018 3:00"
"81","E11","Gato_2018","31/08/2018 13:08","31/08/2018 13:00"
"82","E11","Gato_2018","31/08/2018 15:17","31/08/2018 15:00"
"83","E12","Gato_2018","20/08/2018 14:24","20/08/2018 14:00"
"84","E12","Gato_2018","20/08/2018 15:03","20/08/2018 15:00"
"85","E12","Gato_2018","20/08/2018 17:43","20/08/2018 18:00"
"86","E12","Gato_2018","21/08/2018 9:00","21/08/2018 9:00"
"87","E12","Gato_2018","21/08/2018 10:37","21/08/2018 11:00"
"88","E12","Gato_2018","21/08/2018 11:31","21/08/2018 12:00"
"89","E12","Gato_2018","21/08/2018 12:53","21/08/2018 13:00"
"90","E12","Gato_2018","21/08/2018 14:03","21/08/2018 14:00"
"91","E12","Gato_2018","21/08/2018 14:15","21/08/2018 14:00"
"92","E12","Gato_2018","21/08/2018 15:52","21/08/2018 16:00"
"93","E12","Gato_2018","21/08/2018 16:39","21/08/2018 17:00"
"94","E12","Gato_2018","21/08/2018 17:10","21/08/2018 17:00"
"95","E12","Gato_2018","21/08/2018 18:11","21/08/2018 18:00"
"96","E12","Gato_2018","22/08/2018 10:31","22/08/2018 11:00"
"97","E12","Gato_2018","22/08/2018 13:28","22/08/2018 13:00"
