Station;zona;etapa;zona_etapa;Species;Cuando;hora_redondeo;time_1;time_2
E01;media;2018;media_2018;Gato_2018;30/08/2018 11:22;30/08/2018 11:00;11:22:00;0,47361111
E01;media;2018;media_2018;Gato_2018;31/08/2018 11:57;31/08/2018 12:00;11:57:00;0,49791667
E01;media;2018;media_2018;Gato_2018;01/09/2018 9:14;01/09/2018 9:00;9:14:00;0,38472222
E02;media;2018;media_2018;Gato_2018;14/08/2018 21:29;14/08/2018 21:00;21:29:00;0,89513889
E03;alta;2018;alta_2018;Gato_2018;20/08/2018 20:24;20/08/2018 20:00;20:24:00;0,85
E03;alta;2018;alta_2018;Gato_2018;20/08/2018 21:20;20/08/2018 21:00;21:20:00;0,88888889
E03;alta;2018;alta_2018;Gato_2018;21/08/2018 1:07;21/08/2018 1:00;1:07:00;0,04652778
E03;alta;2018;alta_2018;Gato_2018;21/08/2018 2:21;21/08/2018 2:00;2:21:00;0,09791667
E03;alta;2018;alta_2018;Gato_2018;21/08/2018 3:12;21/08/2018 3:00;3:12:00;0,13333333
E03;alta;2018;alta_2018;Gato_2018;21/08/2018 3:51;21/08/2018 4:00;3:51:00;0,16041667
E03;alta;2018;alta_2018;Gato_2018;21/08/2018 4:00;21/08/2018 4:00;4:00:00;0,16666667
E03;alta;2018;alta_2018;Gato_2018;21/08/2018 10:11;21/08/2018 10:00;10:11:00;0,42430556
E03;alta;2018;alta_2018;Gato_2018;21/08/2018 14:15;21/08/2018 14:00;14:15:00;0,59375
E03;alta;2018;alta_2018;Gato_2018;21/08/2018 14:53;21/08/2018 15:00;14:53:00;0,62013889
E03;alta;2018;alta_2018;Gato_2018;21/08/2018 14:59;21/08/2018 15:00;14:59:00;0,62430556
E03;alta;2018;alta_2018;Gato_2018;21/08/2018 20:14;21/08/2018 20:00;20:14:00;0,84305556
E03;alta;2018;alta_2018;Gato_2018;21/08/2018 20:19;21/08/2018 20:00;20:19:00;0,84652778
E03;alta;2018;alta_2018;Gato_2018;21/08/2018 20:38;21/08/2018 21:00;20:38:00;0,85972222
E03;alta;2018;alta_2018;Gato_2018;22/08/2018 2:29;22/08/2018 2:00;2:29:00;0,10347222
E03;alta;2018;alta_2018;Gato_2018;22/08/2018 3:02;22/08/2018 3:00;3:02:00;0,12638889
E03;alta;2018;alta_2018;Gato_2018;22/08/2018 3:45;22/08/2018 4:00;3:45:00;0,15625
E03;alta;2018;alta_2018;Gato_2018;22/08/2018 9:52;22/08/2018 10:00;9:52:00;0,41111111
E03;alta;2018;alta_2018;Gato_2018;22/08/2018 12:41;22/08/2018 13:00;12:41:00;0,52847222
E03;alta;2018;alta_2018;Gato_2018;22/08/2018 13:15;22/08/2018 13:00;13:15:00;0,55208333
E03;alta;2018;alta_2018;Gato_2018;22/08/2018 18:44;22/08/2018 19:00;18:44:00;0,78055556
E03;alta;2018;alta_2018;Gato_2018;22/08/2018 18:48;22/08/2018 19:00;18:48:00;0,78333333
E03;alta;2018;alta_2018;Gato_2018;23/08/2018 3:16;23/08/2018 3:00;3:16:00;0,13611111
E03;alta;2018;alta_2018;Gato_2018;23/08/2018 4:08;23/08/2018 4:00;4:08:00;0,17222222
E03;alta;2018;alta_2018;Gato_2018;23/08/2018 9:17;23/08/2018 9:00;9:17:00;0,38680556
E03;alta;2018;alta_2018;Gato_2018;23/08/2018 14:07;23/08/2018 14:00;14:07:00;0,58819444
E03;alta;2018;alta_2018;Gato_2018;23/08/2018 14:30;23/08/2018 15:00;14:30:00;0,60416667
E03;alta;2018;alta_2018;Gato_2018;23/08/2018 15:58;23/08/2018 16:00;15:58:00;0,66527778
E03;alta;2018;alta_2018;Gato_2018;23/08/2018 16:20;23/08/2018 16:00;16:20:00;0,68055556
E03;alta;2018;alta_2018;Gato_2018;23/08/2018 18:27;23/08/2018 18:00;18:27:00;0,76875
E03;alta;2018;alta_2018;Gato_2018;24/08/2018 2:23;24/08/2018 2:00;2:23:00;0,09930556
E03;alta;2018;alta_2018;Gato_2018;24/08/2018 6:31;24/08/2018 7:00;6:31:00;0,27152778
E03;alta;2018;alta_2018;Gato_2018;24/08/2018 7:41;24/08/2018 8:00;7:41:00;0,32013889
E03;alta;2018;alta_2018;Gato_2018;24/08/2018 7:52;24/08/2018 8:00;7:52:00;0,32777778
E03;alta;2018;alta_2018;Gato_2018;24/08/2018 10:54;24/08/2018 11:00;10:54:00;0,45416667
E03;alta;2018;alta_2018;Gato_2018;24/08/2018 11:17;24/08/2018 11:00;11:17:00;0,47013889
E03;alta;2018;alta_2018;Gato_2018;24/08/2018 12:06;24/08/2018 12:00;12:06:00;0,50416667
E03;alta;2018;alta_2018;Gato_2018;24/08/2018 13:21;24/08/2018 13:00;13:21:00;0,55625
E03;alta;2018;alta_2018;Gato_2018;24/08/2018 13:29;24/08/2018 13:00;13:29:00;0,56180556
E03;alta;2018;alta_2018;Gato_2018;24/08/2018 21:38;24/08/2018 22:00;21:38:00;0,90138889
E03;alta;2018;alta_2018;Gato_2018;25/08/2018 6:30;25/08/2018 7:00;6:30:00;0,27083333
E03;alta;2018;alta_2018;Gato_2018;25/08/2018 9:29;25/08/2018 9:00;9:29:00;0,39513889
E04;media;2018;media_2018;Gato_2018;13/08/2018 18:26;13/08/2018 18:00;18:26:00;0,76805556
E04;media;2018;media_2018;Gato_2018;15/08/2018 15:04;15/08/2018 15:00;15:04:00;0,62777778
E04;media;2018;media_2018;Gato_2018;16/08/2018 9:42;16/08/2018 10:00;9:42:00;0,40416667
E04;media;2018;media_2018;Gato_2018;18/08/2018 6:39;18/08/2018 7:00;6:39:00;0,27708333
E05;alta;2018;alta_2018;Gato_2018;14/08/2018 7:36;14/08/2018 8:00;7:36:00;0,31666667
E05;alta;2018;alta_2018;Gato_2018;14/08/2018 11:28;14/08/2018 11:00;11:28:00;0,47777778
E05;alta;2018;alta_2018;Gato_2018;15/08/2018 16:54;15/08/2018 17:00;16:54:00;0,70416667
E06;media;2018;media_2018;Gato_2018;30/08/2018 23:43;31/08/2018 0:00;23:43:00;0,98819444
E06;media;2018;media_2018;Gato_2018;31/08/2018 6:48;31/08/2018 7:00;6:48:00;0,28333333
E06;media;2018;media_2018;Gato_2018;31/08/2018 8:35;31/08/2018 9:00;8:35:00;0,35763889
E07;alta;2018;alta_2018;Gato_2018;21/08/2018 18:59;21/08/2018 19:00;18:59:00;0,79097222
E07;alta;2018;alta_2018;Gato_2018;22/08/2018 22:44;22/08/2018 23:00;22:44:00;0,94722222
E08;alta;2018;alta_2018;Gato_2018;17/08/2018 22:39;17/08/2018 23:00;22:39:00;0,94375
E08;alta;2018;alta_2018;Gato_2018;18/08/2018 6:36;18/08/2018 7:00;6:36:00;0,275
E08;alta;2018;alta_2018;Gato_2018;18/08/2018 10:34;18/08/2018 11:00;10:34:00;0,44027778
E08;alta;2018;alta_2018;Gato_2018;19/08/2018 15:04;19/08/2018 15:00;15:04:00;0,62777778
E08;alta;2018;alta_2018;Gato_2018;19/08/2018 15:51;19/08/2018 16:00;15:51:00;0,66041667
E08;alta;2018;alta_2018;Gato_2018;19/08/2018 21:11;19/08/2018 21:00;21:11:00;0,88263889
E08;alta;2018;alta_2018;Gato_2018;20/08/2018 1:35;20/08/2018 2:00;1:35:00;0,06597222
E08;alta;2018;alta_2018;Gato_2018;20/08/2018 21:36;20/08/2018 22:00;21:36:00;0,9
E08;alta;2018;alta_2018;Gato_2018;22/08/2018 1:48;22/08/2018 2:00;1:48:00;0,075
E08;alta;2018;alta_2018;Gato_2018;22/08/2018 2:40;22/08/2018 3:00;2:40:00;0,11111111
E08;alta;2018;alta_2018;Gato_2018;22/08/2018 3:48;22/08/2018 4:00;3:48:00;0,15833333
E09;alta;2018;alta_2018;Gato_2018;14/08/2018 13:57;14/08/2018 14:00;13:57:00;0,58125
E09;alta;2018;alta_2018;Gato_2018;14/08/2018 16:53;14/08/2018 17:00;16:53:00;0,70347222
E10;media;2018;media_2018;Gato_2018;30/08/2018 8:11;30/08/2018 8:00;8:11:00;0,34097222
E10;media;2018;media_2018;Gato_2018;30/08/2018 8:14;30/08/2018 8:00;8:14:00;0,34305556
E11;alta;2018;alta_2018;Gato_2018;27/08/2018 18:28;27/08/2018 18:00;18:28:00;0,76944444
E11;alta;2018;alta_2018;Gato_2018;28/08/2018 0:13;28/08/2018 0:00;0:13:00;0,00902778
E11;alta;2018;alta_2018;Gato_2018;28/08/2018 5:49;28/08/2018 6:00;5:49:00;0,24236111
E11;alta;2018;alta_2018;Gato_2018;28/08/2018 10:03;28/08/2018 10:00;10:03:00;0,41875
