gatos;zona;transecta;etapa;transecta_num;transecta_name_nro
0;Baja;SSO;2018;1;SSO (1)
0;Baja;SSO;2019;1;SSO (1)
0;Baja;SSO;2021;1;SSO (1)
0;Baja;SNE;2018;2;SNE (2)
0;Baja;SNE;2019;2;SNE (2)
0;Baja;SNE;2021;2;SNE (2)
0;Baja;CBS;2018;3;CBS (3)
0;Baja;CBS;2019;3;CBS (3)
0;Baja;CBS;2021;3;CBS (3)
0;Baja;CBN;2018;4;CBN (4)
0;Baja;CBN;2019;4;CBN (4)
0;Baja;CBN;2021;4;CBN (4)
4;Media;CEBP;2018;5;CEBP (5)
1;Media;CEBP;2019;5;CEBP (5)
1;Media;CEBP;2021;5;CEBP (5)
2;Media;CEMB;2018;6;CEMB (6)
3;Media;CEMB;2019;6;CEMB (6)
1;Media;CEMB;2021;6;CEMB (6)
33;Media;CO;2018;7;CO (7)
8;Media;CO;2019;7;CO (7)
7;Media;CO;2021;7;CO (7)
0;Media;BCH;2018;8;BCH (8)
2;Media;BCH;2019;8;BCH (8)
0;Media;BCH;2021;8;BCH (8)
1;Media;PS;2018;9;PS (9)
1;Media;PS;2019;9;PS (9)
0;Media;PS;2021;9;PS (9)
0;Media;PN;2018;10;PN (10)
0;Media;PN;2019;10;PN (10)
0;Media;PN;2021;10;PN (10)
15;Alta;3M;2018;11;3M (11)
34;Alta;3M;2019;11;3M (11)
32;Alta;3M;2021;11;3M (11)
47;Alta;1C;2018;12;1C (12)
34;Alta;1C;2019;12;1C (12)
55;Alta;1C;2021;12;1C (12)
1;Alta;2C;2018;13;2C (13)
7;Alta;2C;2019;13;2C (13)
4;Alta;2C;2021;13;2C (13)
